"FLAG_RESIL";"CLASS_AGE";"CLASS_ANC";"CLASS_OFFRE";"CLASS_DEP";"CLASS_APPELS";"CLASS_P_APPELS_DS_FFT";"CLASS_VAR";"CLASS_TU";"CLASS_HORS_FFT";"CLASS_QT_M1";"CLASS_QT_M2";"CLASS_QT_M3";"CLASS_TYP_VAR";"CLASS_SERVICES";"CHOIX_OFFRE"
"76";"RESIL_NON";"[41:60]";"ANC3";"O3O4";"DEP";"APP3";"PAP2";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SERNA";"CHOIX_OUI"
"77";"RESIL_NON";"[26:40]";"ANC3";"O1O2";"DEP";"APP2";"PAP2";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER3";"CHOIX_NON"
"78";"RESIL_NON";"[0:25]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP2";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"SER3";"CHOIX_OUI"
"79";"RESIL_NON";"[0:25]";"ANC3";"O7";"NO_DEP";"APP4";"PAP3";"DECROISSANCE";"UTIL_ILIM";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_OUI"
"80";"RESIL_OUI";"[41:60]";"ANC2";"O1O2";"NO_DEP";"APP1";"PAP2";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER3";"CHOIX_OUI"
"81";"RESIL_OUI";"[41:60]";"ANC2";"O3O4";"DEP";"APP3";"PAP2";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER2";"CHOIX_NON"
"82";"RESIL_OUI";"[26:40]";"ANC2";"O1O2";"DEP";"APP1";"PAP2";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SERNA";"CHOIX_NON"
"83";"RESIL_OUI";"[61:110]";"ANC1";"O5O6";"DEP";"APP4";"PAP2";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_NON"
"84";"RESIL_NON";"[0:25]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP2";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER3";"CHOIX_OUI"
"85";"RESIL_NON";"[0:25]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP3";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER1";"CHOIX_OUI"
"86";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"DEP";"APP3";"PAP2";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_OUI"
"87";"RESIL_NON";"[61:110]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP3";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"SER1";"CHOIX_NON"
"88";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"DEP";"APP3";"PAP2";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER4";"CHOIX_OUI"
"89";"RESIL_NON";"[0:25]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP3";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER3";"CHOIX_OUI"
"90";"RESIL_NON";"[61:110]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP2";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER4";"CHOIX_OUI"
"91";"RESIL_NON";"[0:25]";"ANC3";"O7";"NO_DEP";"APP4";"PAP3";"DECROISSANCE";"UTIL_ILIM";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER1";"CHOIX_NON"
"92";"RESIL_NON";"[41:60]";"ANC3";"O5O6";"NO_DEP";"APP4";"PAP2";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_OUI"
"93";"RESIL_NON";"[61:110]";"ANC3";"O1O2";"DEP";"APP2";"PAP2";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER2";"CHOIX_NON"
"94";"RESIL_NON";"[0:25]";"ANC2";"O7";"NO_DEP";"APP4";"PAP3";"CROISSANCE";"UTIL_ILIM";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_NON"
"95";"RESIL_NON";"[61:110]";"ANC1";"O3O4";"DEP";"APP2";"PAP2";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_OUI"
"96";"RESIL_OUI";"[0:25]";"ANC1";"O1O2";"DEP";"APP2";"PAP2";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER2";"CHOIX_OUI"
